Denominazione Gruppo,Ordinale,Regione,zona
Abbasanta 1,Q1156,SARDEGNA,ZONA NOA
Alghero 1,Q1167,SARDEGNA,ZONA SASSARI
Alghero 2,Q1168,SARDEGNA,ZONA SASSARI
Alghero 4,Q2666,SARDEGNA,ZONA SASSARI
Assemini 1,Q1124,SARDEGNA,ZONA CAGLIARI
Assemini 2,Q2847,SARDEGNA,ZONA CAGLIARI
Bosa 2,Q3226,SARDEGNA,ZONA NOA
Cagliari 26,Q3469,SARDEGNA,ZONA CAGLIARI
Cagliari 4,Q2596,SARDEGNA,ZONA CAGLIARI
Cagliari 5,Q1128,SARDEGNA,ZONA CAGLIARI
Cagliari 9,Q2700,SARDEGNA,ZONA CAGLIARI
Capoterra 1,Q1816,SARDEGNA,ZONA CAGLIARI
Capoterra 2,Q2846,SARDEGNA,ZONA CAGLIARI
Capoterra 3,Q3128,SARDEGNA,ZONA CAGLIARI
Carbonia 1,Q1138,SARDEGNA,ZONA IGLESIAS
Carbonia 2,Q1139,SARDEGNA,ZONA IGLESIAS
Cortoghiana 1,Q1752,SARDEGNA,ZONA IGLESIAS
Decimomannu 1,Q1135,SARDEGNA,ZONA CAGLIARI
Domusnovas 1,Q1141,SARDEGNA,ZONA IGLESIAS
Elmas 1,Q2526,SARDEGNA,ZONA CAGLIARI
Guspini 1,Q2636,SARDEGNA,ZONA NOA
Iglesias 1,Q1142,SARDEGNA,ZONA IGLESIAS
Iglesias 2,Q1143,SARDEGNA,ZONA IGLESIAS
Iglesias 3,Q1144,SARDEGNA,ZONA IGLESIAS
Iglesias 6,Q2752,SARDEGNA,ZONA IGLESIAS
Nuoro 1,Q1158,SARDEGNA,ZONA NOA
Nuoro 2,Q1159,SARDEGNA,ZONA NOA
Nuoro 4,Q1161,SARDEGNA,ZONA NOA
Olbia 1,Q2383,SARDEGNA,ZONA SASSARI
Oristano 1,Q1145,SARDEGNA,ZONA NOA
Oristano 2,Q1146,SARDEGNA,ZONA NOA
Orosei 1,Q3482,SARDEGNA,ZONA NOA
Porto Torres 1,Q1176,SARDEGNA,ZONA SASSARI
Quartu 1,Q1129,SARDEGNA,ZONA CAGLIARI
Quartu 3,Q2632,SARDEGNA,ZONA CAGLIARI
Sant'Antioco 1,Q1147,SARDEGNA,ZONA IGLESIAS
Sassari 2,Q1171,SARDEGNA,ZONA SASSARI
Sassari 4,Q1173,SARDEGNA,ZONA SASSARI
Sassari 8,Q1944,SARDEGNA,ZONA SASSARI
Sassari 9,Q2667,SARDEGNA,ZONA SASSARI
Selargius 1,Q1130,SARDEGNA,ZONA CAGLIARI
Sennori 1,Q2153,SARDEGNA,ZONA SASSARI
Sestu 1,Q1137,SARDEGNA,ZONA CAGLIARI
Siniscola 1,Q1163,SARDEGNA,ZONA NOA
Sinnai 1,Q2974,SARDEGNA,ZONA CAGLIARI
Sorso 1,Q2441,SARDEGNA,ZONA SASSARI
Villamassargia 1,Q1148,SARDEGNA,ZONA IGLESIAS
